User Input,Chatbot Response,Timestamp
"Hi, What is this?","I'm fine, thank you",2025-04-02 17:57:53
What is you name?,My purpose is to assist you,2025-04-02 17:59:25
In what terms will you assist me?,I can answer questions and provide assistance,2025-04-02 17:59:50
What is AI?,I can answer questions and provide assistance,2025-04-02 18:00:03
What is AI?,I can answer questions and provide assistance,2025-04-02 18:00:16
What is Artificial Intelligence?,"Developing emotional intelligence involves self-awareness, empathy, effective communication, and emotional regulation.",2025-04-02 18:00:35
What is Intelligence?,"Developing emotional intelligence involves self-awareness, empathy, effective communication, and emotional regulation.",2025-04-02 18:00:47
Dance,Time warp dance is an imaginative concept where dance transcends time and allows people to experience different eras.,2025-04-02 18:04:18
Butterflies,"Butterflies do not have a formal language, but observing their behavior can be a peaceful and meditative experience.",2025-04-02 18:04:29
Recent movie that released,"I may not have personal preferences, but I can help you find movies based on your taste!",2025-04-02 18:05:17
Hi,Hello!,2025-04-02 18:12:40
"Hi, What is this?",I am your helper,2025-04-02 18:12:45
What do you do?,"You can ask me questions regarding college, and i will try to answer them",2025-04-02 18:12:56
Who is principal? What does he do?,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,2025-04-02 18:13:31
"I have done my project, I want to consult my hod for approval, Where is he at this time?",College is open 8am-5pm Monday-Saturday!,2025-04-02 18:14:21
Where should I submit my project,College is open 8am-5pm Monday-Saturday!,2025-04-02 18:14:42
Where should I submit my project?,College is open 8am-5pm Monday-Saturday!,2025-04-02 18:14:46
When is sports meet?,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",2025-04-02 18:14:59
Bye,Sad to see you go :(,2025-04-02 18:36:57
bye,Goodbye!,2025-04-02 18:37:04
"Hi, What is this?",You can call me Mind Reader.,2025-04-02 18:42:19
What is Mind Reader?,I'm Mind Reader,2025-04-02 18:42:34
Alright! Tell me about yourself,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",2025-04-02 18:42:54
What do you do?,"You can ask me questions regarding college, and i will try to answer them",2025-04-02 18:43:11
What college does you know about?,College is open 8am-5pm Monday-Saturday!,2025-04-02 18:43:34
bye,Goodbye!,2025-04-02 18:45:11
"Hi, What is this?",You can call me Mind Reader.,2025-04-05 13:08:52
